brand,intent,count_in_sample,pct_of_sample,example_1,example_2
Tesco,"Billing, Charges & Payments",105,5.2,"So @tesco won't give me my money back. @1511 are offering me a ""like for like"" replacement in the wrong colour so it's not ""like for like""",Hi @258133 have emailed customer service on 30nov as instructed to by @Tesco regarding double charge by one of your failing machines! Waiting for a response still
Tesco,Complaint & Feedback,83,4.2,"@Tesco bakery ""Cinnamon Knot"" take a clue from the name, say let's not and put it back. Awful flavourless dry hacking dough. Yuk yuk.",@Tesco No response? Thought you may answer &amp; explain why your staff lied. And there is still a large sign at the roundabout by the PFS
Tesco,Technical Error & Troubleshooting,67,3.4,"Gotta love when you spend an hour doing your @Tesco online shop and the website crashes! 

#emptybasket 

#supersmashingawesome",@Tesco Burton.  2nd one your home driver has destroyed in a fortnight. @Morrisons been delivering for months and not hit anything. https://t.co/l1ZO9g2BFh
Tesco,Product/Feature How-To & General Inquiry,40,2.0,"@Tesco hi, have just signed up for Xmas https://t.co/xKfh4C6DZP can i top up my account?can’t see any option on my clubcard account. Thanks","@Tesco Thanks, I did half and half. They were very nice as a little side feature in my opinion 😁"
Tesco,"Flight, Transit & Booking",17,0.9,@Tesco Yes it did thanks just later than scheduled,"@Tesco just to say that I’m done with baked in store Tesco bread, dry and tasteless. Continually disappointed and will make the trip to @117246 and their simply amazing Low GI loaf.
#realbread"
Tesco,Account & Login / Auth,6,0.3,@Tesco just got Tesco pay+. Will I still need to enter my credit card pin after scanning the barcod from the app?,@Tesco Thanks Adam.can you send me an email address that I can send it to. Fine to contact the supplier.
Tesco,"Warranty, Repair & Replacement",2,0.1,"@Tesco Thanks for your replies, I appreciate it. Much better than the call centre. The fix will come too late for me though sadly.","@Tesco Strictly speaking “Suet is the raw, hard fat of beef or mutton found around the loins and kidneys.”  I suspect you are listing the ingredients of the vegetarian suet replacement - hence my surprise at listing Suet in the product description!"
Tesco,Cancellation & Subscription,2,0.1,@626265 @Tesco Mate let’s cancel England vs Germany footy match today coz the timing is disrespectful and tasteless 😂👍🏼,"@Tesco we've been waiting 12 hours for our shopping, had to cancel lunch with family today and still no food. You promised to have store manager call back in 10 mins - that's was an hour ago. You are horrific. HELP!!"
Tesco,"Damaged, Wrong or Missing Product",2,0.1,@Tesco NOT HAPPY just tried scan as u shop for the very first time and last time seemed ok got to the till to be told it’s a faulty handset and I had to take EVERYTHING out the bags and be put to a manned checkout #embarrassing #upset #annoyed #wastedtime,@Tesco Hi am regular food customer. Also buy glasses since 2013. Bought a pair in 2015 &amp; left arm has come off. Warranty expired in May. 1/2
Tesco,"Network, Internet & Connectivity",1,0.1,@Tesco Will you be selling the new need for speed game that cheap when it comes out next week? Or will it be over £50?,
VerizonSupport,Other / Uncategorized,1224,61.2,@VerizonSupport Channel 509 says Chef at Home and it is Modern Family. Channel 514 says Modern Family and it’s atwo and a Half Men.,@VerizonSupport VADQ0NX1XJ
VerizonSupport,"Network, Internet & Connectivity",263,13.2,@VerizonSupport @AppleSupport please tell me why I have unlimited data on an iPhone7 for it take 20min to Load Instagram. #why #how help,"@VerizonSupport Not my internet light. The ones on are green (LAN, LAN COAX, wireless)"
VerizonSupport,Technical Error & Troubleshooting,154,7.7,"@VerizonSupport I was told there isn't one. It's a neighborhood outage in Brooklyn, NY (very small town, not surprised nobody has heard of it). It's day three and nobody has even been sent out yet according to the person on the phone. Somehow, you guys are worse than Comcast.",@Ask_Spectrum Still down for a building in Brooklyn Heights. 11201?
VerizonSupport,"Billing, Charges & Payments",107,5.3,@VerizonSupport Switch the 2-yr contract that’s not even supposed to be a thing to a normal payment plan. Was told 5 different things and multiple tickets.,@VerizonSupport my service is very crapp right now and we paid our bill yesterday.
VerizonSupport,Complaint & Feedback,56,2.8,@VerizonSupport This has been ongoing since April and it is unacceptable.,@VerizonSupport @115990 I called them already. They gave me a phone number to an automated voice that gave me a message about obtaining a report and then hung up.
VerizonSupport,Product/Feature How-To & General Inquiry,52,2.6,@VerizonSupport You're sending me to the wrong support and wasting my time and the technician s time. They can't help with WIRELESS!,@VerizonSupport how do I get around the persistent blank screen from  https://t.co/xjnMgJq8mq website when trying to log into my account?
VerizonSupport,"Order, Delivery & Tracking",36,1.8,@VerizonSupport Yes but it only had an order # but no price breakdown. (Didn’t know it was supposed to have that!) I did save web confirmation page. Grrr.,"@VerizonSupport My order with 2nd cable box (MA00346781099) was supposed to be delivered yesterday, but UPS says due to error it is being returned to sender"
VerizonSupport,"Warranty, Repair & Replacement",29,1.5,@VerizonSupport U want me to remove it and replace it after a minute?,@VerizonSupport Replace light is  NOT on.
VerizonSupport,Account & Login / Auth,24,1.2,"@VerizonSupport Ping @115725, still no reception on my cell... Can't get any 2FA for banking etc. Any updates?",@291282 @VerizonSupport If you have Telemundo you can download their app and stream it there with your credentials
VerizonSupport,Cancellation & Subscription,21,1.1,"@VerizonSupport This is not entirely true. It has to be the router you or your vendor sales. You are even required to input it serial numbers on your ordering website ""or the technician won't install service"". Your service cancellation process cannot be done online, and calling get you nowhere.",@VerizonSupport Transferred our numbers to new provider. They should have activated the cancellation. TY.
VerizonSupport,"Store, Pickup & In-Person",19,0.9,@VerizonSupport Mobile. I tried to call right back but now they’re “closed”,@VerizonSupport Now being told we have to wait until tomorrow AM for @19128 new location. Still w/o now.
VerizonSupport,"Flight, Transit & Booking",13,0.7,@VerizonSupport I just spent almost 2 hrs on the phone with customer service. Unless you can get someone here today when my original appt was scheduled,@VerizonSupport Yo guys. Can we escalate this support case? Free VZW MSG; The issue you reported is being investigated.  You will receive notification when the issue is resolved. Ticket # NRB000009182157 https://t.co/VPDsxGvxE8
VerizonSupport,"Damaged, Wrong or Missing Product",2,0.1,@VerizonSupport Yup I logged on and it said my deal expired and asked me to renew,"@VerizonSupport Enrolled. Rep didn't know????  He's sitting in front of a computer. Shouldn't all the answers be at his fingertips?  ""Mr. Vereline, the card you have on file is expired or no longer valid."""
AmazonHelp,Other / Uncategorized,1187,59.4,Yo @115821 all week mobile or PC it's Christmas list season and you're killin me https://t.co/em4Oondyos,@AmazonHelp So when you have no answer you close it this way as always. #patheticservice @115850 @115851 are you listening.
AmazonHelp,"Order, Delivery & Tracking",464,23.2,@AmazonHelp Saved. Just had an email to confirm you are refunding the order. Will reorder again.,"@116090 ordered yesterday, paid for Same-Day/One-Day Shipping, and it's ONLY IN THE ""Preparing for Shipment"" PHASE THIS EVENING??? How does does ""one day shipping"" equal ""ship the following day""???"
AmazonHelp,"Billing, Charges & Payments",101,5.1,"@AmazonHelp Yeah, I know I can return the whole thing but I don't think that we need to bring three shipping charges, and two vehicles into what can be solved by shipping one replacement cable.","@115850 @115821 Amazon blocked my account - __email__, I have Amazon pay balance in my account . please give my money back."
AmazonHelp,Technical Error & Troubleshooting,53,2.6,@AmazonHelp I even bought a Dot to make sure it isn’t a connection issue and it’s been fine.,@AmazonHelp This link appears to be broken https://t.co/xAltot5LCZ
AmazonHelp,Complaint & Feedback,52,2.6,"@AmazonHelp i have filled, but no response","@AmazonHelp I am sure you did not take the pain of getting in touch with your Ms. Hanan from executive customer relationship team as Amazon being a fraud company nobody is bothered 2 look into customer problems. Amazon sells fake products I have proved it, so request everyone to AVOID Amazon"
AmazonHelp,Product/Feature How-To & General Inquiry,38,1.9,@AmazonHelp why can I not apply this balance to my outstanding amount due all of the sudden? https://t.co/RqDdn4mTAs,"@AmazonHelp No, how do I do this?"
AmazonHelp,"Store, Pickup & In-Person",27,1.4,@AmazonHelp I mean I understand that but I can literally open the box with 1 finger. Not sealed. 1 piece of tape could have solved it.,FFS! Every time I open my @117634 all my books have been deleted &amp; I have to start again. Turned off sync but it turns itself back on.
AmazonHelp,Account & Login / Auth,21,1.1,"@115821
So our prime account has had its password changed without permission on numerous occasions. Now it's been hacked and the login email address changed. Our bank account information is in that account. The service rep doesn't appear to want to help.",So Amazon decided an order I placed was suspicious and locked my account. Password reset appears to work but still can't log in. Ugh.
AmazonHelp,"Flight, Transit & Booking",17,0.9,"@AmazonHelp Thanks! I'm not having any product problems. I'm actually trying to apply for Amazon Jobs through the https://t.co/V4zx9rZoBO platform, and I've created an account and applied for one already. However, I just found out I put in the wrong e-mail, and I can't change it.",@AmazonHelp I️ was given a free month of prime. I️ need that backpack for a trip on Tuesday.
AmazonHelp,"Warranty, Repair & Replacement",13,0.7,"@AmazonHelp I've been trying to get them to fix this for 2 weeks already! I called them multiple times, but they never fully understand the issue. I've resorted to just emails. They've told me multiple times they fixed it, but it's never actually fixed. They don't do anything.",@AmazonHelp I have received fake product! You guys are not interested to replace with orginal product! I make video of it and post in some time with all details.i have all the snapshots.
AmazonHelp,"Network, Internet & Connectivity",11,0.5,"@AmazonHelp Request to speed up the process, everything you demanded on the form I have submitted, request to speed up the inquiry","@AmazonHelp Auto app updates are disabled. The Kindle app is the high roller on data, somehow https://t.co/8dOwMZIBmG"
AmazonHelp,"Damaged, Wrong or Missing Product",9,0.4,"@AmazonHelp  Received damaged crockery ,ordered for gifting Purpose , Need help in urgent replacement https://t.co/UdgGCrMX0p","@UPSHelp @AmazonHelp It doesn't appear so. It's a little bent, but remarkably not seriously damaged."
AmazonHelp,Cancellation & Subscription,7,0.4,"@AmazonHelp No, cause I was waiting on a decision, but they have sent it now the cancellation has gone away.",Thanks for nothing @115828 @116089 @127852 you advertise beta codes so I preorder then u don’t deliver so u cancel. Guess I’ll skip
XboxSupport,Other / Uncategorized,1327,66.3,@ATVIAssist @476483 Anynews on my rank going back on 40 ?,"@XboxSupport 
Where did te Xbox Live Buy button Go??? https://t.co/ArBMegB8L7"
XboxSupport,Technical Error & Troubleshooting,281,14.1,"@XboxSupport Thanks, bit it doesn't list update size. I need to know the size of the day one update.",@ATVIAssist @306635 Is anyone still getting error 5 code cause I’m still getting it plz help a give me any suggestions
XboxSupport,"Network, Internet & Connectivity",74,3.7,"@701174 @XboxSupport Same, and the Activision site is very condescendingly suggesting that I reset my router or use a wired connection 🙄","@XboxSupport I have a quick question. When I moved my external hard drive from my old Xbox one to the new Xbox one x, I lost all save data from WWE 2k18. Is there any way to fix this issue? Still waiting on a response"
XboxSupport,Product/Feature How-To & General Inquiry,72,3.6,Hi @XboxSupport I have 4TB HDD for my #XboxOne with 300+ games. Can I reuse HDD with #XboxOneX and back again? Thanks!,@XboxSupport I’ve got an A button on brand new one x controller that doesn’t seem to register every time. What can I do?
XboxSupport,"Warranty, Repair & Replacement",54,2.7,@XboxSupport Are you guys going to fix the lip Sync issue when watching 4K Blu-rays on Xbox One S?,@117347 @174471 @5543  fix forza 7 pc !!!
XboxSupport,Account & Login / Auth,44,2.2,@711986 @XboxSupport New account using win10 sign in the add that account to family should give u access now,"@XboxSupport hey, i can' log in to my account. What can be wrong?"
XboxSupport,"Billing, Charges & Payments",42,2.1,@XboxSupport I have battlefront 2 and season pass and I feel so cheated it's only 4.50 my previous tweet shows that was wants us to talk toyou for refund,@XboxSupport hey I bought a game that I didn’t mean to is there anyway I could get a refund? It’s a digital btw
XboxSupport,"Store, Pickup & In-Person",34,1.7,@115786 @XboxSupport @115787 why no mass effect 2 or 3 in store? Don’t want EA access..,"@237588 @XboxSupport @115787 @22687 @115825 Dürfte aber wahrscheinlich eher daran liegen das die Lizenzen für Deutschland separat ausgehandelt sind und wiederum teurer.

Die Auswahl im US-Store ist OK:
https://t.co/smW7K3gAWi"
XboxSupport,Complaint & Feedback,33,1.7,@XboxSupport I have nothing to read up on. I am aware of the Code of Conduct. We did not break it. This is a joke.,@115786 @117331 @XboxSupport @204967 so this is how your report system works https://t.co/9A3c9i4zt2
XboxSupport,"Order, Delivery & Tracking",20,1.0,@189963 Seriously? If I specifically wanted to pre-order what I wanted then why is the money still there. Shouldn't that preordered money be in a separate pool or section,"@XboxSupport Yes the details are there but no delivery date. It used to say “released 7th November” but that has been removed, does that mean a delay?"
XboxSupport,Cancellation & Subscription,8,0.4,@XboxSupport can someone help me cancel my xbox live subscription my xbox won't load the page and i need to cancel it asap !!!!!,"@116540 Ahm, I have another question, do you know if I can keep the rest of the month I paid if I cancel it?"
XboxSupport,"Flight, Transit & Booking",8,0.4,@XboxSupport I'm buying the new Play Station when it comes out I'm done with xbox like on god😂,"@115786 @XboxSupport —on the wrist. Xbox Enforcement needs its own direct forum or platform on social media, just xbox support. They deserve to be critiqued."
XboxSupport,"Damaged, Wrong or Missing Product",3,0.1,@XboxSupport I just received a replacement Scorpio after my first faulty one and now this happens: https://t.co/ebs3np3p4C,"@XboxSupport I have thought about purchasing it digitally but right now I don’t want too, because I have a somewhat not too badly damaged copy of the game so I’m just going to play it right now and see what happens if it goes out on me then I will buy digitally"
DellCares,Other / Uncategorized,1108,55.4,"@DellCares dell Inspiron 5567 little black gap in rt side of display, two months old laptop,pls help https://t.co/UmHPgks02P",@118197 Will send the info on the morning if that's ok
DellCares,Technical Error & Troubleshooting,205,10.2,"@815262 @118197 That sucks! Try starting in safe mode and see if you can access a recovery date prior to the update. May lose some things, though. Safe mode may let you in and without using recovery and then there might be something in settings to correct it.",@DellCares @466856 That is truly shocking! They have no idea how to treat customers. I had to spend £1200 to replace a system they broke!!
DellCares,"Warranty, Repair & Replacement",133,6.7,"@DellCares @124140 you will replace my PC instead of dismantle it SR#: 951554530, @129837, @DellCares, this PC has not worked correctly since I got it",@DellCares Your laptop charger (less than a year old) caused a short circuit in my home and caught fire. Repair centre refuses to replace the piece. Please help.
DellCares,"Order, Delivery & Tracking",127,6.3,"@DellCares Order requires sig and I leave for our of town in a 5 days. Care says Fed-ex has it, Fed-ex says you have it. Y is this so hard?","@DellCares Ok, thanks for the info. I'm more worried about the PII data flaws in the guest order page you use anyway. I'll create an account next time and hope it's more secure."
DellCares,Complaint & Feedback,118,5.9,@118197 PS and when asked about complaint procedure told to ring call centre operator's supervisor on Monday morning,"@118197 Thank for your reply 

My Complaint no. #5437104-__credit_card__#"
DellCares,Product/Feature How-To & General Inquiry,101,5.1,@DellCares Does a Dell Inspiron has this feature?,"@252720 Hi Ashok, The warranty is updated. Please DM us for further assistance. ^KJ."
DellCares,"Billing, Charges & Payments",91,4.5,"@118197 The laptop has gone black, no lights, it won’t turn on or charge.  I have already tried replacing the battery and charger.",@DellCares Charging port came loose and is inside case of laptop so it cannot be charged. Is this covered under 1 year warranty?
DellCares,"Damaged, Wrong or Missing Product",32,1.6,Really disappointed with my @118197 Inspiron DT7775. Faulty hardware from day 1 and poor service for repairs #DELL #Inspiron #poorquality,"After 1st visit @DellCares, @118197, @129837 &amp; various part replacements, still faulty &amp; finally an admission that it is a hardware fault.  Next visit, 4 hrs, still an issue &amp; here we are.  Please just replace, I only requested a replacement in Sep 17! #CustomerExperience 3/3"
DellCares,"Network, Internet & Connectivity",31,1.6,@DellCares I saw the Internet reference on screen but have had nothing in my inbox...,"@118197 BIOS is 1.4. Three different USB 3 devices fail in the right USB port. They all work fine (and at USB 3 speed) in the left USB port. USB 2 devices work fine in the right USB 3 port. I can provide other info (service tag, name, etc. in a DM)."
DellCares,Account & Login / Auth,22,1.1,@DellCares It had a facial recognition which due to some reason I switched off and I forgot the password to unlock it 😞 please help me restore the PW.,"@135325 the registered owner's name and email address for further assistance.
^PK
3/3"
DellCares,"Store, Pickup & In-Person",18,0.9,"@DellCares why can't i buy a charger from your store. every time i try, it redirects me to your black friday sale, but i NEED a charger",@118197 @DellCares You guys open? It is Gandhi Jayanti in India and I know 99.9999% of you are there.  Maybe @129837 is available?
DellCares,"Flight, Transit & Booking",12,0.6,"@569231 @DellCares The technician has called to schedule appointment now, thank goodness!",@118197  My Dell laptop stolen in train jrny from Banglore to Kharagpur .#student IITKGP .Can i track it in any way DELL Sno 18004254051
DellCares,Cancellation & Subscription,2,0.1,@DellCares Too bad my dell laptop was recalled for no reason and now on hold for 2 hrs trying to get an explanation and confirm a cancellation.,Sorry @118197 but if you aren’t going to ship my monitors in a timely manner when I see a lightning sale on @115821 I’m going to cancel my monitors and save $200
